City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
Kawalu,ID,09-02-2018,-7.38,108.21,67.37,98,80,2.42
Correntina,BR,09-02-2018,-13.34,-44.63,86.0,33,0,9.8
Salta,AR,09-02-2018,-24.79,-65.41,50.0,57,0,3.36
Tapes,BR,09-02-2018,-30.67,-51.4,66.83,96,80,8.12
Urubicha,BO,09-02-2018,-15.63,-63.08,65.66,62,32,7.56
Feicheng,CN,09-02-2018,36.18,116.77,72.14,100,92,3.76
Pontal do Parana,BR,09-02-2018,-25.67,-48.51,68.0,94,90,4.7
Shakiso,ET,09-02-2018,5.77,38.9,63.59,86,76,2.53
Severo-Kurilsk,RU,09-02-2018,50.68,156.12,50.36,100,92,2.75
Baft,IR,09-02-2018,29.23,56.61,70.52,16,0,7.67
Ouargaye,BF,09-02-2018,11.5,0.06,74.84,100,92,5.55
Tolaga Bay,NZ,09-02-2018,-38.37,178.3,54.41,66,0,18.75
Kaputa,ZM,09-02-2018,-8.47,29.66,84.56,25,0,3.65
Renfrew,GB,09-02-2018,55.88,-4.39,71.6,82,90,8.05
Hue,VN,09-02-2018,16.47,107.58,73.4,100,75,6.93
Ruteng,ID,09-02-2018,-8.61,120.46,65.66,92,20,2.98
Kuldur,RU,09-02-2018,49.22,131.63,59.18,87,92,7.11
Gornoye Loo,RU,09-02-2018,43.72,39.61,82.4,58,40,13.42
Caldwell,US,09-02-2018,43.67,-116.69,55.94,93,1,2.08
Tanout,NE,09-02-2018,14.97,8.88,92.3,54,36,4.43
Mujiayingzi,CN,09-02-2018,42.12,118.78,60.62,50,0,6.22
Bantacan,PH,09-02-2018,7.62,126.13,72.95,85,32,3.42
Sapernoye,RU,09-02-2018,60.72,29.95,66.11,80,56,2.75
Keskin,TR,09-02-2018,39.67,33.62,86.0,21,0,5.99
Shatalovo,RU,09-02-2018,53.28,37.58,83.93,28,0,4.76
Ishim,RU,09-02-2018,56.11,69.47,49.46,68,0,6.67
Los Llanos de Aridane,ES,09-02-2018,28.66,-17.92,80.6,57,40,8.05
Hohhot,CN,09-02-2018,40.81,111.65,68.0,49,0,6.71
Port Keats,AU,09-02-2018,-14.25,129.55,72.41,95,0,4.43
Fukue,JP,09-02-2018,35.03,136.69,78.8,83,75,17.22
Nuuk,GL,09-02-2018,64.17,-51.74,44.6,56,90,10.29
Lalmohan,BD,09-02-2018,22.34,90.74,80.96,95,80,14.5
Bayji,IQ,09-02-2018,34.93,43.49,109.04,9,0,9.69
Mazatlan,MX,09-02-2018,23.22,-106.42,75.2,100,75,3.36
Carira,BR,09-02-2018,-10.36,-37.7,85.28,48,20,13.04
Limni,GR,09-02-2018,39.92,20.54,93.2,56,20,4.7
Humaita,AR,09-02-2018,-24.93,-65.37,50.0,57,0,3.36
Lahan,NP,09-02-2018,26.71,86.48,72.32,95,12,2.75
Harrisonburg,US,09-02-2018,38.45,-78.87,71.06,100,75,3.36
Taoudenni,ML,09-02-2018,22.68,-3.98,107.96,16,0,6.44
General Pico,AR,09-02-2018,-35.66,-63.75,58.73,49,12,11.48
Lasa,CY,09-02-2018,34.92,32.53,87.8,79,20,11.41
Barkot,IN,09-02-2018,30.81,78.21,66.65,98,88,1.74
Swinford,IE,09-02-2018,53.94,-8.95,62.6,93,90,9.17
Thompson,CA,09-02-2018,55.74,-97.86,51.8,100,90,5.82
Alta Floresta,BR,09-02-2018,-9.87,-56.08,95.36,32,0,3.2
Kununurra,AU,09-02-2018,-15.77,128.74,73.4,53,0,4.7
Tezu,IN,09-02-2018,27.93,96.16,67.46,99,88,1.19
Ahipara,NZ,09-02-2018,-35.17,173.16,54.86,90,36,14.72
Mudgee,AU,09-02-2018,-32.6,149.59,45.41,99,92,9.01
Kaberamaido,UG,09-02-2018,1.76,33.16,70.7,100,64,6.67
Vytegra,RU,09-02-2018,61.01,36.45,64.13,94,80,3.65
Jutai,BR,09-02-2018,-1.71,-47.89,89.24,66,0,5.44
Kommunar,RU,09-02-2018,59.62,30.39,68.0,68,75,8.95
Amazar,RU,09-02-2018,53.86,120.88,54.95,100,92,2.64
Manado,ID,09-02-2018,1.49,124.85,82.4,54,40,2.24
Biak,ID,09-02-2018,-0.91,122.88,77.36,88,48,5.99
Aksarka,RU,09-02-2018,66.56,67.8,46.49,83,0,2.75
Barra Velha,BR,09-02-2018,-26.63,-48.68,68.0,94,90,4.7
Reinosa,ES,09-02-2018,43.0,-4.14,78.8,54,0,8.05
Ukiah,US,09-02-2018,39.15,-123.21,53.96,77,1,2.64
Novoagansk,RU,09-02-2018,61.94,76.66,51.8,77,76,5.21
Karachi,PK,09-02-2018,24.87,67.03,82.4,69,75,11.41
Tuni,BO,09-02-2018,-16.67,-68.14,41.0,10,0,8.05
Poitiers,FR,09-02-2018,46.58,0.34,75.2,31,0,12.75
Mokolo,CM,09-02-2018,10.74,13.8,86.0,70,40,2.24
Salalah,OM,09-02-2018,17.01,54.1,78.8,83,75,10.29
Haileybury,CA,09-02-2018,47.44,-79.64,69.8,100,90,3.36
North Platte,US,09-02-2018,41.12,-100.77,68.0,89,90,5.55
Molango,MX,09-02-2018,20.79,-98.73,68.72,87,56,1.52
Linjiang,CN,09-02-2018,41.81,126.91,62.06,81,100,7.45
Dikson,RU,09-02-2018,73.51,80.55,41.54,100,68,16.62
Longyan,CN,09-02-2018,25.1,117.03,73.4,88,48,1.74
Diffa,NE,09-02-2018,13.32,12.61,85.82,73,92,4.54
Karratha,AU,09-02-2018,-20.74,116.85,62.78,45,0,7.45
New Norfolk,AU,09-02-2018,-42.78,147.06,39.2,80,20,4.7
Okoneshnikovo,RU,09-02-2018,54.84,75.08,52.97,70,68,15.5
Paracuru,BR,09-02-2018,-3.41,-39.03,84.2,62,75,25.28
Novoagansk,RU,09-02-2018,61.94,76.66,51.8,77,76,5.21
Ust-Nera,RU,09-02-2018,64.57,143.24,41.9,97,88,1.97
Aklavik,CA,09-02-2018,68.22,-135.01,32.0,89,75,12.75
Netrakona,BD,09-02-2018,24.88,90.72,77.0,100,92,5.66
Howard Springs,AU,09-02-2018,-12.5,131.05,77.0,73,0,2.24
Jalu,LY,09-02-2018,29.03,21.55,95.81,26,0,9.24
Mantua,IT,09-02-2018,45.16,10.79,71.6,68,75,4.7
Sorong,ID,09-02-2018,-0.86,131.25,79.88,100,68,12.59
Camopi,GF,09-02-2018,3.17,-52.33,86.36,69,44,2.98
Santa Isabel do Rio Negro,BR,09-02-2018,-0.41,-65.02,83.39,82,48,5.1
Nouakchott,MR,09-02-2018,18.08,-15.98,77.9,100,0,17.74
Sangolqui,EC,09-02-2018,-0.33,-78.45,53.6,87,75,16.11
Haines Junction,CA,09-02-2018,60.75,-137.51,33.44,96,88,1.97
Port Jervis,US,09-02-2018,41.38,-74.69,69.98,93,90,3.2
Zhangye,CN,09-02-2018,38.94,100.46,56.3,85,0,2.42
Port Hedland,AU,09-02-2018,-20.31,118.58,64.4,45,0,3.36
Dutse,NG,09-02-2018,11.76,9.34,84.47,81,36,4.09
Calabozo,VE,09-02-2018,8.92,-67.43,89.78,64,8,12.59
Mirabad,IR,09-02-2018,28.27,61.33,75.02,12,0,8.23
Tabasco,MX,09-02-2018,21.87,-102.91,59.0,93,75,4.7
Chuguyevka,RU,09-02-2018,44.17,133.87,56.75,81,88,3.09
Uarini,BR,09-02-2018,-2.98,-65.16,84.2,79,20,5.82
Dharampuri,IN,09-02-2018,22.17,75.35,75.65,95,80,8.01
Kempsey,AU,09-02-2018,-31.08,152.84,58.55,90,100,7.0
Angoche,MZ,09-02-2018,-16.23,39.91,79.16,96,0,7.11
Baherden,TM,09-02-2018,38.44,57.43,73.31,25,0,8.46
Kaniama,CD,09-02-2018,-7.57,24.18,92.93,20,12,3.42
Sao Felix do Xingu,BR,09-02-2018,-6.64,-51.99,95.54,33,0,4.09
Morondava,MG,09-02-2018,-20.3,44.28,80.69,62,0,5.1
Bom Jesus,BR,09-02-2018,-9.08,-44.36,92.66,32,0,10.13
Nanguneri,IN,09-02-2018,8.49,77.66,78.71,72,36,7.0
Walla Walla,US,09-02-2018,46.06,-118.33,57.02,57,1,5.82
Gaoua,BF,09-02-2018,10.33,-3.18,81.05,82,76,10.47
Kichmengskiy Gorodok,RU,09-02-2018,59.99,45.81,60.89,82,32,3.2
Kudat,MY,09-02-2018,6.89,116.84,80.6,83,75,9.17
Northam,GB,09-02-2018,51.04,-4.21,69.8,63,20,8.05
Tokoroa,NZ,09-02-2018,-38.22,175.87,45.95,98,88,9.24
Khurai,IN,09-02-2018,24.04,78.33,72.95,98,92,12.15
Butaritari,KI,09-02-2018,3.07,172.79,78.53,100,76,2.19
Takefu,JP,09-02-2018,35.9,136.17,71.6,94,75,3.36
Shelburne,CA,09-02-2018,44.08,-80.2,77.0,100,1,5.82
Cubuk,TR,09-02-2018,40.24,33.03,91.4,21,20,10.29
Warwick,US,09-02-2018,41.7,-71.42,73.04,81,90,4.7
Bandar-e Lengeh,IR,09-02-2018,26.56,54.88,96.8,60,0,9.17
Berdigestyakh,RU,09-02-2018,62.1,126.7,38.66,78,0,6.44
Springdale,US,09-02-2018,36.19,-94.13,73.94,94,5,5.82
Dunbar,US,09-02-2018,45.65,-88.17,68.0,93,75,3.42
Zaozerne,UA,09-02-2018,51.37,23.94,77.45,61,0,8.57
Wabag,PG,09-02-2018,-5.48,143.7,52.88,98,92,2.19
Mangan,IN,09-02-2018,27.5,88.54,47.48,98,92,0.96
Beaumont,US,09-02-2018,30.09,-94.1,78.08,87,90,8.05
Wuhu,CN,09-02-2018,31.35,118.43,79.34,93,76,2.64
Raton,US,09-02-2018,36.9,-104.44,59.0,89,75,9.17
Mackenzie,CA,09-02-2018,55.34,-123.09,44.6,93,90,5.82
Tupik,RU,09-02-2018,54.43,119.94,51.44,100,92,7.23
Sampang,ID,09-02-2018,-7.54,109.46,77.09,92,92,13.04
Wexford,US,09-02-2018,40.63,-80.06,75.92,93,75,4.7
Zaysan,KZ,09-02-2018,47.47,84.87,43.07,94,88,5.77
Gawler,AU,09-02-2018,-34.6,138.75,44.6,81,0,5.82
Inongo,CD,09-02-2018,-1.93,18.29,85.01,63,8,3.42
Bolshevik,BY,09-02-2018,54.01,27.57,75.2,44,0,11.18
Le Chambon-Feugerolles,FR,09-02-2018,45.4,4.32,73.4,40,90,9.17
Velikiy Novgorod,RU,09-02-2018,58.52,31.28,67.91,80,20,3.09
Tupelo,US,09-02-2018,34.26,-88.7,75.92,81,1,5.82
Badarpur,IN,09-02-2018,24.87,92.56,74.12,98,44,4.43
Izberbash,RU,09-02-2018,42.57,47.86,78.8,65,44,24.61
Wodonga,AU,09-02-2018,-36.12,146.89,46.4,65,40,4.7
Mokshan,RU,09-02-2018,53.44,44.61,77.36,41,80,4.43
Ikwiriri,TZ,09-02-2018,-7.96,38.99,81.5,46,0,7.67
Iskateley,RU,09-02-2018,67.68,53.15,61.88,71,12,12.48
Kirakira,SB,09-02-2018,-10.46,161.92,80.96,100,92,11.48
Rodrigues Alves,BR,09-02-2018,-7.74,-72.65,78.8,83,0,3.36
San Benito,CO,09-02-2018,6.13,-73.51,68.99,85,64,2.64
Lower Hutt,NZ,09-02-2018,-41.21,174.91,53.6,81,88,12.75
Kunnamkulam,IN,09-02-2018,10.65,76.07,82.4,78,75,8.05
Cap-aux-Meules,CA,09-02-2018,47.38,-61.86,66.2,72,75,16.11
Nizhniy Baskunchak,RU,09-02-2018,48.22,46.83,83.75,28,44,11.7
Puerto Leguizamo,CO,09-02-2018,-0.19,-74.78,83.57,81,44,3.42
Tikrit,IQ,09-02-2018,34.62,43.68,108.68,8,0,10.13
Shentala,RU,09-02-2018,54.44,51.46,66.38,62,0,7.0
Asosa,ET,09-02-2018,10.07,34.53,74.93,76,92,4.21
Boyuibe,BO,09-02-2018,-20.43,-63.28,55.4,58,0,17.85
Seguin,US,09-02-2018,29.57,-97.96,78.98,94,75,4.54
Kohima,IN,09-02-2018,25.66,94.1,69.35,98,80,1.41
Demba,CD,09-02-2018,-5.47,22.27,88.7,44,12,2.53
Fillmore,US,09-02-2018,34.4,-118.91,68.0,67,90,3.36
Bourail,NC,09-02-2018,-21.57,165.5,61.7,100,80,2.75
Kutum,SD,09-02-2018,14.2,24.66,86.99,48,48,10.69
Kudahuvadhoo,MV,09-02-2018,2.67,72.89,84.38,100,0,5.55
Homer,US,09-02-2018,59.64,-151.54,39.92,89,1,3.36
Crailsheim,DE,09-02-2018,49.14,10.07,60.98,100,90,8.05
Svarstad,NO,09-02-2018,59.4,9.97,64.4,63,0,14.99
Ilovlya,RU,09-02-2018,49.31,43.98,84.2,14,0,17.9
Manjhanpur,IN,09-02-2018,25.53,81.37,79.61,92,44,5.1
Batsfjord,NO,09-02-2018,70.63,29.72,55.85,82,56,6.44
Mairana,BO,09-02-2018,-18.12,-63.96,54.68,78,80,3.09
Liuli,TZ,09-02-2018,-11.1,34.65,76.46,97,0,6.67
Sijunjung,ID,09-02-2018,-0.69,100.95,69.62,82,68,1.97
Pak Phanang,TH,09-02-2018,8.35,100.2,80.6,69,20,4.7
Vila do Maio,CV,09-02-2018,15.13,-23.22,84.2,74,75,8.05
Chernigovka,RU,09-02-2018,44.34,132.57,61.34,84,92,8.68
Belle Glade,US,09-02-2018,26.68,-80.67,80.6,83,76,5.82
Nioro,GM,09-02-2018,13.79,-15.05,87.35,81,32,9.46
Khatanga,RU,09-02-2018,71.98,102.47,39.02,87,88,18.19
Dinar,TR,09-02-2018,38.07,30.16,93.2,15,40,11.41
Nizwa,OM,09-02-2018,22.93,57.53,91.22,15,0,4.09
Nardaran,AZ,09-02-2018,40.56,50.01,86.0,30,0,11.41
Bansang,GM,09-02-2018,13.44,-14.66,86.45,89,48,8.57
Punta de Piedra,VE,09-02-2018,7.62,-71.49,81.59,72,0,3.65
Borujerd,IR,09-02-2018,33.89,48.76,104.0,6,0,4.7
Vredendal,ZA,09-02-2018,-31.68,18.49,53.51,92,92,8.01
Humen,CN,09-02-2018,22.82,113.67,82.4,69,20,3.36
Esna,RO,09-02-2018,45.2,27.57,91.49,27,0,12.26
Wuxi,CN,09-02-2018,31.58,120.3,79.34,93,24,3.42
Muborak,UZ,09-02-2018,39.25,65.15,74.03,20,0,20.2
Yabelo,ET,09-02-2018,4.89,38.09,75.2,48,92,6.67
Montelibano,CO,09-02-2018,7.98,-75.42,83.3,95,20,4.09
Benghazi,LY,09-02-2018,32.12,20.07,82.4,96,0,15.28
Temixco,MX,09-02-2018,18.85,-99.22,64.4,93,90,3.09
Pryozerne,UA,09-02-2018,49.42,24.47,80.6,53,0,11.18
Kasese,UG,09-02-2018,0.17,30.09,74.3,80,76,2.19
San Ignacio,CL,09-02-2018,-36.8,-72.03,46.4,100,0,2.24
Itarantim,BR,09-02-2018,-15.65,-40.06,77.54,67,12,5.1
Bure,NG,09-02-2018,10.52,10.33,79.43,95,76,3.65
Vila Velha,BR,09-02-2018,-3.71,-38.6,84.2,62,75,25.28
Sajanan,TN,09-02-2018,37.06,9.24,84.2,51,20,13.87
Ruteng,ID,09-02-2018,-8.61,120.46,65.66,92,20,2.98
Hulyaypole,UA,09-02-2018,47.67,36.26,84.11,23,68,13.82
Veraval,FR,09-02-2018,49.65,0.71,71.6,40,0,4.7
Vicosa do Ceara,BR,09-02-2018,-3.56,-41.09,91.76,42,0,11.03
Burnie,AU,09-02-2018,-41.05,145.91,48.65,100,12,12.48
Babu,CN,09-02-2018,23.23,104.89,64.94,97,92,0.74
Kalat,PK,09-02-2018,29.03,66.58,65.48,23,8,4.99
Shadrinsk,RU,09-02-2018,56.09,63.63,54.23,65,8,4.43
Nouadhibou,MR,09-02-2018,20.93,-17.03,77.0,69,0,20.8
Aqtobe,KZ,09-02-2018,50.28,57.21,69.8,15,0,6.71
Lazi,HR,09-02-2018,45.57,14.64,80.6,47,20,4.7
Balikpapan,ID,09-02-2018,-1.24,116.86,82.22,98,8,11.59
Phalombe,MW,09-02-2018,-15.81,35.65,79.61,34,0,2.98
Nefteyugansk,RU,09-02-2018,61.09,72.61,55.4,71,0,6.71
Melfort,CA,09-02-2018,52.87,-104.61,44.6,87,1,13.87
Terney,RU,09-02-2018,45.05,136.61,60.26,96,92,5.1
Majene,ID,09-02-2018,-3.54,118.97,82.49,94,8,16.51
Ntcheu,MW,09-02-2018,-14.82,34.64,78.53,39,0,5.44
Ucluelet,CA,09-02-2018,48.94,-125.55,53.6,93,90,2.24
Dhaulpur,IN,09-02-2018,26.7,77.9,74.66,100,92,5.55
Redcliffe,GB,09-02-2018,51.45,-2.59,75.2,60,64,8.05
Bidor,MY,09-02-2018,4.11,101.29,82.4,83,75,2.24
Chokurdakh,RU,09-02-2018,70.62,147.9,39.38,84,92,6.44
Danshui,CN,09-02-2018,22.81,114.46,77.09,100,48,2.64
Lukulu,ZM,09-02-2018,-14.38,23.24,88.61,19,0,4.65
Secunda,ZA,09-02-2018,-26.52,29.2,73.76,11,0,16.06
Hanzhong,CN,09-02-2018,33.08,107.03,71.96,85,76,2.19
Florianopolis,BR,09-02-2018,-27.6,-48.55,66.2,100,75,3.36
Itacare,BR,09-02-2018,-14.28,-39.0,78.8,69,75,6.93
Mashhad,IR,09-02-2018,36.3,59.61,77.0,16,0,16.11
Kaduy,RU,09-02-2018,59.2,37.15,65.66,95,92,4.43
Dayong,PH,09-02-2018,11.74,122.04,78.8,100,40,2.24
Sambava,MG,09-02-2018,-14.27,50.17,71.51,100,92,17.85
Bydgoszcz,PL,09-02-2018,53.12,18.0,77.0,50,0,13.87
Valleyview,CA,09-02-2018,55.07,-117.28,46.76,83,12,9.01
Putina,PE,09-02-2018,-14.91,-69.87,35.6,22,0,3.36
Santiago,CL,09-02-2018,-33.44,-70.65,50.0,66,0,1.12
Grevesmuhlen,DE,09-02-2018,53.87,11.18,69.8,68,40,11.41
Saint-Augustin,FR,09-02-2018,44.83,-0.61,82.4,29,0,9.17
High Level,CA,09-02-2018,58.52,-117.13,30.2,100,20,4.7
Teeli,RU,09-02-2018,51.01,90.2,39.11,91,8,2.19
Brokopondo,SR,09-02-2018,5.06,-54.98,84.2,74,20,4.7
Kirensk,RU,09-02-2018,57.78,108.12,46.58,58,0,4.43
Uyuni,BO,09-02-2018,-20.46,-66.82,49.28,17,0,7.67
Magrath,CA,09-02-2018,49.42,-112.86,41.0,86,75,9.17
Colesberg,ZA,09-02-2018,-30.72,25.1,52.25,63,92,18.3
Tilichiki,RU,09-02-2018,60.47,166.1,49.55,95,92,11.81
Alto Paraguai,BR,09-02-2018,-14.51,-56.48,80.06,47,0,12.59
Vaini,IN,09-02-2018,15.34,74.49,68.18,99,92,4.54
Conde,BR,09-02-2018,-11.81,-37.61,79.7,75,36,11.25
Okhotsk,RU,09-02-2018,59.36,143.24,50.99,100,0,5.99
Thompson,CA,09-02-2018,55.74,-97.86,51.8,100,90,5.82
Urdoma,RU,09-02-2018,61.74,48.55,60.44,76,0,2.75
Changping,CN,09-02-2018,40.22,116.23,75.2,88,56,6.71
Asti,IT,09-02-2018,44.9,8.21,75.2,49,40,3.36
Walvis Bay,NA,09-02-2018,-22.95,14.51,61.7,90,8,19.64
Barkly West,ZA,09-02-2018,-28.54,24.52,64.4,27,75,16.11
Faya,SA,09-02-2018,18.39,42.45,86.0,48,40,17.22
Cuenca,ES,09-02-2018,40.07,-2.13,89.6,25,0,8.01
Pochutla,MX,09-02-2018,15.74,-96.47,75.2,69,75,10.29
Karachi,PK,09-02-2018,24.87,67.03,82.4,69,75,11.41
Chumikan,RU,09-02-2018,54.72,135.31,54.05,98,92,3.65
Itacoatiara,BR,09-02-2018,-3.14,-58.44,91.94,57,8,4.76
Xuddur,SO,09-02-2018,4.12,43.89,86.81,33,92,11.59
Moramanga,MG,09-02-2018,-18.95,48.23,56.03,100,80,3.09
Adelaide,AU,09-02-2018,-34.93,138.6,44.6,81,0,5.82
Olbia,IT,09-02-2018,40.92,9.49,80.6,42,40,11.41
Loandjili,CG,09-02-2018,-4.77,11.87,77.0,73,75,6.93
Guiglo,CI,09-02-2018,6.55,-7.5,72.23,99,92,7.23
Bahawalpur,PK,09-02-2018,29.39,71.66,90.41,50,32,7.78
Blythe,US,09-02-2018,33.61,-114.59,79.07,59,0,8.23
Lucapa,AO,09-02-2018,-8.42,20.74,88.16,42,0,3.98
Barlinek,PL,09-02-2018,53.0,15.22,73.4,53,0,9.17
Zaraza,VE,09-02-2018,9.35,-65.33,88.7,64,20,7.11
Miles City,US,09-02-2018,46.41,-105.84,44.96,85,1,3.36
Ibia,NG,09-02-2018,5.18,6.32,80.78,86,92,5.66
Rome,IT,09-02-2018,41.89,12.48,80.6,54,75,6.93
Glomfjord,NO,09-02-2018,66.82,13.94,57.2,93,75,2.24
Hofn,IS,09-02-2018,64.25,-15.21,48.2,81,75,4.7
Cumpas,MX,09-02-2018,30.0,-109.78,68.09,98,92,2.64
Illela,NG,09-02-2018,12.39,4.75,85.28,84,12,7.11
Mackay,CA,09-02-2018,53.65,-115.58,35.6,66,20,4.54
Novonikolsk,RU,09-02-2018,43.85,131.86,64.4,82,40,11.18
Normandin,CA,09-02-2018,48.84,-72.53,68.0,94,90,2.24
Sar-e Pul,AF,09-02-2018,36.22,65.93,55.13,46,0,2.98
Glenwood Springs,US,09-02-2018,39.55,-107.33,53.96,52,1,2.19
Uyutne,UA,09-02-2018,45.2,33.3,81.68,87,0,16.06
Ramhormoz,IR,09-02-2018,31.28,49.6,111.2,10,0,11.41
Thunder Bay,CA,09-02-2018,48.41,-89.26,62.6,100,90,3.36
Ziniare,BF,09-02-2018,12.58,-1.3,84.2,66,40,6.93
Port Moresby,PG,09-02-2018,-9.47,147.16,77.0,88,20,11.41
Vila Franca do Campo,PT,09-02-2018,37.72,-25.43,77.0,61,20,12.75
Changzhou,CN,09-02-2018,31.81,119.97,79.34,93,24,3.42
Gazojak,TM,09-02-2018,41.19,61.4,68.54,32,0,15.17
Sterling,US,09-02-2018,39.0,-77.4,78.08,88,75,4.65
Mehran,IR,09-02-2018,33.12,46.17,100.4,13,0,6.93
Datong,CN,09-02-2018,40.09,113.3,57.56,70,0,8.57
Le Port,FR,09-02-2018,42.87,1.37,71.15,25,20,1.52
Pedernales,EC,09-02-2018,0.07,-80.05,75.56,90,88,4.65
Nueva Loja,EC,09-02-2018,0.08,-76.88,77.0,88,40,4.7
Jishou,CN,09-02-2018,28.26,109.7,77.9,88,56,0.74
San Policarpo,PH,09-02-2018,12.18,125.51,79.16,100,88,11.48
Sao Felix do Xingu,BR,09-02-2018,-6.64,-51.99,95.54,33,0,4.09
Zelenoborskiy,RU,09-02-2018,66.84,32.36,60.53,80,76,3.65
Hongjiang,CN,09-02-2018,27.21,109.83,78.71,77,36,4.21
Oyem,GA,09-02-2018,1.6,11.57,75.2,88,90,2.75
Kirakira,SB,09-02-2018,-10.46,161.92,80.96,100,92,11.48
Nabire,ID,09-02-2018,-3.36,135.5,65.75,94,20,2.08
Phalodi,IN,09-02-2018,27.13,72.36,88.88,49,32,7.0
Ayolas,PY,09-02-2018,-27.39,-56.84,59.0,100,92,9.01
Chiman,PK,09-02-2018,32.55,73.81,89.6,66,40,6.93
Itoman,JP,09-02-2018,26.12,127.67,82.4,74,20,9.17
Moen,NO,09-02-2018,69.13,18.61,60.8,63,75,19.46
Gulbarga,IN,09-02-2018,17.33,76.83,76.91,77,88,11.81
Manica,MZ,09-02-2018,-18.94,32.88,86.0,28,20,4.99
Tunceli,TR,09-02-2018,39.11,39.55,96.8,14,0,6.93
Bo Phloi,TH,09-02-2018,14.32,99.52,81.05,69,80,6.55
Ladario,PT,09-02-2018,40.7,-7.74,91.67,27,0,3.09
Pauini,BR,09-02-2018,-7.71,-67.0,88.16,62,12,3.76
Toamasina,MG,09-02-2018,-18.17,49.38,77.0,65,40,8.05
Cassilandia,BR,09-02-2018,-19.11,-51.73,88.61,42,12,9.24
Kalabo,ZM,09-02-2018,-15.0,22.67,90.32,14,0,3.42
Ushirombo,TZ,09-02-2018,-3.47,31.9,83.75,32,8,5.55
Jiaocheng,CN,09-02-2018,24.68,116.14,74.66,94,36,2.08
Salina,US,09-02-2018,36.29,-95.15,75.92,83,1,9.17
Cheney,US,09-02-2018,47.49,-117.58,50.0,66,1,3.36
Kindu,CD,09-02-2018,-2.95,25.92,83.03,63,8,2.53
Klaksvik,FO,09-02-2018,62.23,-6.59,53.6,100,75,14.99
Turbat,PK,09-02-2018,26.0,63.05,92.39,29,0,11.7
Gao,ML,09-02-2018,16.28,-0.04,90.5,58,20,7.78
Luquillo,PR,09-02-2018,18.37,-65.72,84.92,80,40,6.93
Upernavik,GL,09-02-2018,72.79,-56.15,36.95,100,0,10.69
Madingou,CG,09-02-2018,-4.17,13.56,86.81,60,0,2.75
Jahangirpur,BD,09-02-2018,24.5,90.66,77.0,100,92,5.66
